,name,year,rating,m_score,runtime,votes,gross
162,The Shack,2017.0,6.2,32.0,132.0,35441.0,57386418.0
163,Escape Room,2019.0,6.4,48.0,99.0,117504.0,57005601.0
164,Midway,2019.0,6.7,47.0,138.0,82221.0,56846802.0
165,Darkest Hour,2017.0,7.4,75.0,125.0,196288.0,56468410.0
166,Happy Death Day,2017.0,6.6,58.0,96.0,136009.0,55683845.0
167,Dora and the Lost City of Gold,2019.0,6.1,63.0,102.0,30187.0,54893567.0
168,The Nutcracker and the Four Realms,2018.0,5.5,39.0,99.0,33071.0,54858851.0
169,The Curse of La Llorona,2019.0,5.2,41.0,93.0,48633.0,54733739.0
170,Pet Sematary,2019.0,5.7,57.0,101.0,91031.0,54724696.0
171,What Men Want,2019.0,5.3,49.0,117.0,27688.0,54611903.0
172,Tag,2018.0,6.5,56.0,100.0,130337.0,54547470.0
173,"Three Billboards Outside Ebbing, Missouri",2017.0,8.1,88.0,115.0,490200.0,54513740.0
174,A Simple Favor,2018.0,6.8,67.0,117.0,145562.0,53548586.0
175,Parasite,2019.0,8.5,96.0,132.0,743497.0,53367844.0
176,Life of the Party,2018.0,5.5,46.0,105.0,36898.0,52856061.0
177,Atomic Blonde,2017.0,6.7,63.0,115.0,189892.0,51687870.0
178,American Made,2017.0,7.1,65.0,115.0,174762.0,51342000.0
179,The Predator,2018.0,5.3,48.0,107.0,126662.0,51024708.0
180,Jai Lava Kusa,2017.0,6.8,,150.0,5837.0,51000000.0
181,The Dark Tower,2017.0,5.6,34.0,95.0,137220.0,50701325.0
182,Overboard,2018.0,6.0,42.0,112.0,38019.0,50316123.0
183,Ad Astra,2019.0,6.5,80.0,123.0,227212.0,50188370.0
184,Sicario: Day of the Soldado,2018.0,7.1,61.0,122.0,143589.0,50072235.0
185,BlacKkKlansman,2018.0,7.5,83.0,135.0,255712.0,49275340.0
186,Lady Bird,2017.0,7.4,93.0,94.0,278912.0,48958273.0
187,I Feel Pretty,2018.0,5.6,48.0,110.0,53313.0,48795601.0
